n,t,y
1000,4.3450,-0.640977
1000,4.3500,-0.639568
1000,4.3550,-0.638143
1000,4.3600,-0.636701
1000,4.3650,-0.635243
1000,4.3700,-0.633769
1000,4.3750,-0.632279
1000,4.3800,-0.630773
1000,4.3850,-0.629250
1000,4.3900,-0.627712
1000,4.3950,-0.626158
1000,4.4000,-0.624587
1000,4.4050,-0.623001
1000,4.4100,-0.621399
1000,4.4150,-0.619781
1000,4.4200,-0.618147
1000,4.4250,-0.616498
1000,4.4300,-0.614832
1000,4.4350,-0.613151
1000,4.4400,-0.611455
1000,4.4450,-0.609743
1000,4.4500,-0.608015
1000,4.4550,-0.606272
1000,4.4600,-0.604513
1000,4.4650,-0.602739
1000,4.4700,-0.600950
1000,4.4750,-0.599146
1000,4.4800,-0.597326
1000,4.4850,-0.595491
1000,4.4900,-0.593640
1000,4.4950,-0.591775
1000,4.5000,-0.589894
1000,4.5050,-0.587999
1000,4.5100,-0.586088
1000,4.5150,-0.584163
1000,4.5200,-0.582223
1000,4.5250,-0.580268
1000,4.5300,-0.578298
1000,4.5350,-0.576313
1000,4.5400,-0.574314
1000,4.5450,-0.572300
1000,4.5500,-0.570272
1000,4.5550,-0.568229
1000,4.5600,-0.566171
1000,4.5650,-0.564099
1000,4.5700,-0.562013
1000,4.5750,-0.559913
1000,4.5800,-0.557798
1000,4.5850,-0.555669
1000,4.5900,-0.553526
1000,4.5950,-0.551368
1000,4.6000,-0.549197
1000,4.6050,-0.547012
